enriched_id,tribunal,case_family,case_number,official_case_page,page_title,has_transcripts,has_court_recordings,has_videos,link_count,status,error_message,notes
icty_001,ICTY,Karadzic Trial,IT-95-5/18-T,https://ucr.irmct.org/scasedocs/case/IT-95-5%2F18,SELECTED DOCUMENTS,yes,yes,yes,25,ok,,"Best starting point. ICTY states the Hearing List links to public transcripts and videos; ICTY also reported 1,200+ public trial-session videos digitized."
icty_002,ICTY,Mladic Trial,IT-09-92-T,https://ucr.irmct.org/scasedocs/case/IT-09-92,SELECTED DOCUMENTS,yes,yes,yes,25,ok,,"Strong witness list exists, but exact transcript/video pairs must be resolved before counting coverage."
icty_003,ICTY,Perisic Trial,IT-04-81,https://ucr.irmct.org/scasedocs/case/IT-04-81,SELECTED DOCUMENTS,yes,yes,yes,25,ok,,Good multi-case expansion candidate; UCR result exposes Court Recordings and Transcripts categories.
icty_004,ICTY,Popovic et al. Trial,IT-05-88-T,https://ucr.irmct.org/scasedocs/case/IT-05-88,SELECTED DOCUMENTS,yes,yes,yes,25,ok,,Relevant because many Mladic witnesses previously testified in Popovic et al.; do not count until video is verified.
icty_005,ICTY,Stanisic and Simatovic Trial,MICT-15-96-T/IT-03-69,https://ucr.irmct.org/scasedocs/case/MICT-15-96%2FIT-03-69,SELECTED DOCUMENTS,yes,yes,yes,25,ok,,Potential IRMCT/ICTY bridge case. Verify public video and witness testimony before inclusion.
ictr_006,ICTR,Akayesu Trial,ICTR-96-4-T,https://ucr.irmct.org/scasedocs/case/ICTR-96-4,SELECTED DOCUMENTS,yes,yes,yes,25,ok,,Historically important testimony. Do not count as video hours unless actual recording is validated.
ictr_007,ICTR,Bagosora et al. Trial,ICTR-98-41-T,https://ucr.irmct.org/scasedocs/case/ICTR-98-41,SELECTED DOCUMENTS,yes,yes,yes,25,ok,,"Good ICTR expansion candidate, but likely transcript-first until video inventory is confirmed."
ictr_008,ICTR,Ntakirutimana / Ntahobali related cases,ICTR case family,https://ucr.irmct.org/scasedocs/case/ICTR%20case%20family,SELECTED DOCUMENTS,yes,yes,yes,25,ok,,Candidate only; do not promote to witness manifest until real TAP/video coverage is found.
irmct_009,IRMCT,IRMCT Appeals / Residual Hearings,MICT cases,https://ucr.irmct.org/scasedocs/case/MICT%20cases,SELECTED DOCUMENTS,yes,yes,yes,25,ok,,Appeal hearings may be legal argument rather than testimony. Keep separate from witness-testimony dataset.
icty/irmct_010,ICTY/IRMCT,Manual New Candidate Placeholder,TO_BE_FILLED,https://ucr.irmct.org/scasedocs/case/TO_BE_FILLED,SELECTED DOCUMENTS,yes,yes,yes,25,ok,,Template row for adding more cases safely.
