sample_id,split,label,video_path,audio_path,transcript
train_dia0_utt0,train,0,data/processed/MELD_VIT_FACECROP/train/video/train_dia0_utt0.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia0_utt0.mp4,also I was the point person on my company’s transition from the KL-5 to GR-6 system.
train_dia0_utt1,train,0,data/processed/MELD_VIT_FACECROP/train/video/train_dia0_utt1.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia0_utt1.mp4,You must’ve had your hands full.
train_dia0_utt2,train,0,data/processed/MELD_VIT_FACECROP/train/video/train_dia0_utt2.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia0_utt2.mp4,That I did. That I did.
train_dia0_utt3,train,0,data/processed/MELD_VIT_FACECROP/train/video/train_dia0_utt3.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia0_utt3.mp4,So let’s talk a little bit about your duties.
train_dia0_utt4,train,2,data/processed/MELD_VIT_FACECROP/train/video/train_dia0_utt4.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia0_utt4.mp4,My duties? All right.
train_dia0_utt5,train,0,data/processed/MELD_VIT_FACECROP/train/video/train_dia0_utt5.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia0_utt5.mp4,"Now you’ll be heading a whole division, so you’ll have a lot of duties."
train_dia0_utt6,train,0,data/processed/MELD_VIT_FACECROP/train/video/train_dia0_utt6.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia0_utt6.mp4,I see.
train_dia0_utt7,train,0,data/processed/MELD_VIT_FACECROP/train/video/train_dia0_utt7.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia0_utt7.mp4,But there’ll be perhaps 30 people under you so you can dump a certain amount on them.
train_dia0_utt8,train,0,data/processed/MELD_VIT_FACECROP/train/video/train_dia0_utt8.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia0_utt8.mp4,Good to know.
train_dia0_utt9,train,0,data/processed/MELD_VIT_FACECROP/train/video/train_dia0_utt9.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia0_utt9.mp4,We can go into detail
train_dia0_utt10,train,5,data/processed/MELD_VIT_FACECROP/train/video/train_dia0_utt10.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia0_utt10.mp4,No don’t I beg of you!
train_dia0_utt11,train,0,data/processed/MELD_VIT_FACECROP/train/video/train_dia0_utt11.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia0_utt11.mp4,"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here."
train_dia0_utt12,train,2,data/processed/MELD_VIT_FACECROP/train/video/train_dia0_utt12.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia0_utt12.mp4,Really?!
train_dia0_utt13,train,0,data/processed/MELD_VIT_FACECROP/train/video/train_dia0_utt13.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia0_utt13.mp4,Absolutely. You can relax
train_dia1_utt0,train,2,data/processed/MELD_VIT_FACECROP/train/video/train_dia1_utt0.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia1_utt0.mp4,But then who? The waitress I went out with last month?
train_dia1_utt1,train,3,data/processed/MELD_VIT_FACECROP/train/video/train_dia1_utt1.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia1_utt1.mp4,You know? Forget it!
train_dia1_utt2,train,2,data/processed/MELD_VIT_FACECROP/train/video/train_dia1_utt2.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia1_utt2.mp4,"No-no-no-no, no! Who, who were you talking about?"
train_dia1_utt3,train,5,data/processed/MELD_VIT_FACECROP/train/video/train_dia1_utt3.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia1_utt3.mp4,"No, I-I-I-I don't, I actually don't know"
train_dia1_utt4,train,0,data/processed/MELD_VIT_FACECROP/train/video/train_dia1_utt4.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia1_utt4.mp4,Ok!
train_dia1_utt5,train,0,data/processed/MELD_VIT_FACECROP/train/video/train_dia1_utt5.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia1_utt5.mp4,"All right, well..."
train_dia1_utt8,train,0,data/processed/MELD_VIT_FACECROP/train/video/train_dia1_utt8.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia1_utt8.mp4,"Yeah, sure!"
train_dia2_utt0,train,0,data/processed/MELD_VIT_FACECROP/train/video/train_dia2_utt0.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt0.mp4,"Hey, Mon."
train_dia2_utt1,train,0,data/processed/MELD_VIT_FACECROP/train/video/train_dia2_utt1.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt1.mp4,Hey-hey-hey. You wanna hear something that sucks.
train_dia2_utt2,train,1,data/processed/MELD_VIT_FACECROP/train/video/train_dia2_utt2.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt2.mp4,Do I ever.
train_dia2_utt3,train,3,data/processed/MELD_VIT_FACECROP/train/video/train_dia2_utt3.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt3.mp4,Chris says they’re closing down the bar.
train_dia2_utt4,train,2,data/processed/MELD_VIT_FACECROP/train/video/train_dia2_utt4.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt4.mp4,No way!
train_dia2_utt5,train,0,data/processed/MELD_VIT_FACECROP/train/video/train_dia2_utt5.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt5.mp4,"Yeah, apparently they’re turning it into some kinda coffee place."
train_dia2_utt6,train,6,data/processed/MELD_VIT_FACECROP/train/video/train_dia2_utt6.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt6.mp4,Just coffee! Where are we gonna hang out now?
train_dia2_utt7,train,3,data/processed/MELD_VIT_FACECROP/train/video/train_dia2_utt7.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt7.mp4,Got me.
train_dia2_utt8,train,0,data/processed/MELD_VIT_FACECROP/train/video/train_dia2_utt8.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt8.mp4,Can I get a beer.
train_dia2_utt9,train,0,data/processed/MELD_VIT_FACECROP/train/video/train_dia2_utt9.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt9.mp4,"Hey, did you pick a roommate?"
train_dia2_utt10,train,1,data/processed/MELD_VIT_FACECROP/train/video/train_dia2_utt10.npy,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt10.mp4,You betcha!
