sample_id,split,label,video_path,audio_path,transcript
train_dia167_utt8,train,3,data/processed/MELD/train/video/train_dia167_utt8.npy,data/processed/MELD/train/audio/train_dia167_utt8.npy,Say you'll stay beside me
train_dia320_utt9,train,0,data/processed/MELD/train/video/train_dia320_utt9.npy,data/processed/MELD/train/audio/train_dia320_utt9.npy,"Look, things like last night they don’t just happen."
train_dia865_utt4,train,3,data/processed/MELD/train/video/train_dia865_utt4.npy,data/processed/MELD/train/audio/train_dia865_utt4.npy,"Stop saying, ""Blood"" to strangers."
train_dia570_utt3,train,0,data/processed/MELD/train/video/train_dia570_utt3.npy,data/processed/MELD/train/audio/train_dia570_utt3.npy,"Okay, y'know what uh, actually, that's great. That helps a lot. Thanks."
train_dia3_utt1,train,2,data/processed/MELD/train/video/train_dia3_utt1.npy,data/processed/MELD/train/audio/train_dia3_utt1.npy,"What, what, what?!"
train_dia785_utt1,train,4,data/processed/MELD/train/video/train_dia785_utt1.npy,data/processed/MELD/train/audio/train_dia785_utt1.npy,What about my children Drake?! Huh!? No!! No!! No! God!
train_dia38_utt6,train,4,data/processed/MELD/train/video/train_dia38_utt6.npy,data/processed/MELD/train/audio/train_dia38_utt6.npy,"Yeah, they think they can charge me for some dirty movie and a bag of Mashuga nuts, they got another think coming."
train_dia168_utt5,train,0,data/processed/MELD/train/video/train_dia168_utt5.npy,data/processed/MELD/train/audio/train_dia168_utt5.npy,"No,"
train_dia264_utt2,train,2,data/processed/MELD/train/video/train_dia264_utt2.npy,data/processed/MELD/train/audio/train_dia264_utt2.npy,What?!
train_dia489_utt4,train,0,data/processed/MELD/train/video/train_dia489_utt4.npy,data/processed/MELD/train/audio/train_dia489_utt4.npy,So how'd it go?
train_dia902_utt4,train,0,data/processed/MELD/train/video/train_dia902_utt4.npy,data/processed/MELD/train/audio/train_dia902_utt4.npy,You are
train_dia892_utt3,train,0,data/processed/MELD/train/video/train_dia892_utt3.npy,data/processed/MELD/train/audio/train_dia892_utt3.npy,And people say you don’t pay attention.
train_dia1012_utt5,train,4,data/processed/MELD/train/video/train_dia1012_utt5.npy,data/processed/MELD/train/audio/train_dia1012_utt5.npy,Shh!
train_dia163_utt6,train,0,data/processed/MELD/train/video/train_dia163_utt6.npy,data/processed/MELD/train/audio/train_dia163_utt6.npy,Chandler
train_dia415_utt7,train,0,data/processed/MELD/train/video/train_dia415_utt7.npy,data/processed/MELD/train/audio/train_dia415_utt7.npy,Action.
train_dia606_utt4,train,1,data/processed/MELD/train/video/train_dia606_utt4.npy,data/processed/MELD/train/audio/train_dia606_utt4.npy,"Listen, it was nice to see you. I gotta run backstage."
train_dia438_utt11,train,0,data/processed/MELD/train/video/train_dia438_utt11.npy,data/processed/MELD/train/audio/train_dia438_utt11.npy,Oh shoot! Maybe next time. Thanks for a lovely evening.
train_dia211_utt7,train,0,data/processed/MELD/train/video/train_dia211_utt7.npy,data/processed/MELD/train/audio/train_dia211_utt7.npy,What a sweet story.
train_dia307_utt0,train,0,data/processed/MELD/train/video/train_dia307_utt0.npy,data/processed/MELD/train/audio/train_dia307_utt0.npy,And why do you care so much?
train_dia758_utt4,train,4,data/processed/MELD/train/video/train_dia758_utt4.npy,data/processed/MELD/train/audio/train_dia758_utt4.npy,"No, she touched mine first!"
train_dia982_utt0,train,0,data/processed/MELD/train/video/train_dia982_utt0.npy,data/processed/MELD/train/audio/train_dia982_utt0.npy,All right.
train_dia789_utt8,train,1,data/processed/MELD/train/video/train_dia789_utt8.npy,data/processed/MELD/train/audio/train_dia789_utt8.npy,"But sometimes when you, when you playfully punch me like that it-it feels like someone's hitting me with a very tiny but very"
train_dia512_utt0,train,1,data/processed/MELD/train/video/train_dia512_utt0.npy,data/processed/MELD/train/audio/train_dia512_utt0.npy,Hi Pheebs!
train_dia245_utt1,train,1,data/processed/MELD/train/video/train_dia245_utt1.npy,data/processed/MELD/train/audio/train_dia245_utt1.npy,"We couldn’t keep our eyes off each other all night and then every once and a while y’know, he’d kinda lean over and stroke my hair and touch my neck."
train_dia317_utt7,train,1,data/processed/MELD/train/video/train_dia317_utt7.npy,data/processed/MELD/train/audio/train_dia317_utt7.npy,Oh! Here’s Joseph Francis!
train_dia792_utt16,train,3,data/processed/MELD/train/video/train_dia792_utt16.npy,data/processed/MELD/train/audio/train_dia792_utt16.npy,"Knowing I'll never hold you in my arms again, or touch your skin, or feel your lips, knowing I'll never make love to you?"
train_dia47_utt7,train,1,data/processed/MELD/train/video/train_dia47_utt7.npy,data/processed/MELD/train/audio/train_dia47_utt7.npy,"No, no wait, for get them, we got one, hard left."
train_dia334_utt10,train,0,data/processed/MELD/train/video/train_dia334_utt10.npy,data/processed/MELD/train/audio/train_dia334_utt10.npy,I forgot my purse.
train_dia264_utt9,train,0,data/processed/MELD/train/video/train_dia264_utt9.npy,data/processed/MELD/train/audio/train_dia264_utt9.npy,Y’know what?
train_dia864_utt3,train,1,data/processed/MELD/train/video/train_dia864_utt3.npy,data/processed/MELD/train/audio/train_dia864_utt3.npy,"Well, thanks a lot for hookin’ me up Rach. I want you to know that I want you to attend our wedding as my guest."
train_dia830_utt5,train,1,data/processed/MELD/train/video/train_dia830_utt5.npy,data/processed/MELD/train/audio/train_dia830_utt5.npy,Varrrrrrrrroom.
train_dia222_utt19,train,6,data/processed/MELD/train/video/train_dia222_utt19.npy,data/processed/MELD/train/audio/train_dia222_utt19.npy,"Oh yeah. Boy, urine cuts"
train_dia628_utt0,train,2,data/processed/MELD/train/video/train_dia628_utt0.npy,data/processed/MELD/train/audio/train_dia628_utt0.npy,Oh!
train_dia865_utt6,train,0,data/processed/MELD/train/video/train_dia865_utt6.npy,data/processed/MELD/train/audio/train_dia865_utt6.npy,"Okay, you’re fine."
