utterance_id,status,old_alignment_confidence,old_quality_tier,old_split,old_alignment_status,old_start_time,old_end_time,old_utterance_text,old_reason,new_alignment_confidence,new_quality_tier,new_split,new_alignment_status,new_start_time,new_end_time,new_utterance_text,new_reason
hear_2ef83c852251d65c_utt00001,only_old,MEDIUM,B,train,fuzzy,00:01:35.940,00:01:45.760,You are currently serving as a superintendent in the Kenyan police force?,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition",,,,,,,,
hear_2ef83c852251d65c_utt00006,only_old,HIGH,B,train,matched,00:03:49.950,00:03:51.450,"Yes, I do.","usable because split=train, quality_tier=B, alignment_confidence=HIGH, and manual_review_required=NO | high_confidence because alignment_confidence=HIGH | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition",,,,,,,,
hear_2ef83c852251d65c_utt00026,only_old,MEDIUM,B,train,fuzzy,00:03:54.470,00:03:55.570,Yes.,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition",,,,,,,,
hear_2ef83c852251d65c_utt00034,only_old,MEDIUM,B,train,fuzzy,00:05:21.520,00:05:23.120,Yes.,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition",,,,,,,,
hear_2ef83c852251d65c_utt00047,only_new,,,,,,,,,HIGH,B,train,matched,00:10:41.690,00:11:11.690,"And does a copy of that report appear in the binder before you behind tab number two under the document code of NYANJWA-2, consisting of four typewritten pages of text marked at the bottom one through four, and at the top with evidence reference numbers L0026940 through 45, plus a six-part series of attachments?","usable because split=train, quality_tier=B, alignment_confidence=HIGH, and manual_review_required=NO | high_confidence because alignment_confidence=HIGH | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00050,only_new,,,,,,,,,MEDIUM,B,train,fuzzy,00:11:29.920,00:11:37.360,I was requested to carry out some handwriting analysis on various sets of documents that were submitted to me from here.,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00051,only_new,,,,,,,,,HIGH,B,train,matched,00:11:40.620,00:11:46.600,"And after providing your written report, did you also receive a follow-up request?","usable because split=train, quality_tier=B, alignment_confidence=HIGH, and manual_review_required=NO | high_confidence because alignment_confidence=HIGH | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00052,only_new,,,,,,,,,HIGH,B,train,matched,00:11:48.770,00:11:50.310,"Yes, I did.","usable because split=train, quality_tier=B, alignment_confidence=HIGH, and manual_review_required=NO | high_confidence because alignment_confidence=HIGH | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00053,only_new,,,,,,,,,MEDIUM,B,train,matched,00:11:51.750,00:12:06.850,And did that follow-up request pertain to materials that were referred to as document 13 and marked with evidence reference numbers L0008679 --,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00055,only_new,,,,,,,,,MEDIUM,B,train,fuzzy,00:12:14.790,00:12:16.170,Yes.,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00057,only_old,MEDIUM,B,train,matched,00:11:29.350,00:11:59.350,"I was requested to carry out some handwriting analysis on some sets of documents that were submitted to me from here, the ICTR.","usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition",,,,,,,,
hear_2ef83c852251d65c_utt00059,only_new,,,,,,,,,MEDIUM,B,train,matched,00:14:20.110,00:14:50.110,"The method I used is summarised on my report. This is contained on page, page 4, which is marked Exhibit L0026944. I've given a summary of the methodology used before I rendered my opinion, but in brief, I eliminated -- first of all eliminated all the natural variations that usually occur when somebody does writing by the -- natural variation can occur as a result of intoxication by alcohol, sickness, old age, the writing material itself, the paper, the surface beneath the paper. And I took into consideration the individual characteristics of the handwriting, like the character arrangements, character formations and their constructions, character slants and slopes, spacings, baseline alignment, character initialisations, and the terminal strokes, writing quality, line quality, pen fluency, character connections, general resemblance, pen speed, pen pressure and pen lifts, ink failures, and the like, before giving my opinion.","usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00118,only_new,,,,,,,,,MEDIUM,B,train,fuzzy,00:25:56.440,00:26:09.380,So do I understand that you consider graphology and handwriting analysis as one and the same thing?,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00136,only_old,MEDIUM,B,train,fuzzy,00:28:02.530,00:28:08.650,And this time around the focus was handwriting analysis; is that correct?,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition",,,,,,,,
hear_2ef83c852251d65c_utt00152,only_new,,,,,,,,,HIGH,B,train,matched,00:33:32.150,00:33:46.190,"If I understand you correctly, for a short document you would analyse -- you would analyse a short document for two hours, three hours, in order to be able to do three or four analyses per day?","usable because split=train, quality_tier=B, alignment_confidence=HIGH, and manual_review_required=NO | high_confidence because alignment_confidence=HIGH | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00155,only_old,MEDIUM,B,train,fuzzy,00:32:09.000,00:32:10.720,That's correct.,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition",,,,,,,,
hear_2ef83c852251d65c_utt00162,only_old,MEDIUM,B,train,fuzzy,00:33:32.770,00:33:34.390,I did not quite understand what you said.,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition",,,,,,,,
hear_2ef83c852251d65c_utt00163,only_new,,,,,,,,,HIGH,B,train,matched,00:35:31.790,00:35:50.890,"I said that it is not the Prosecutor who did not call me. It was the Defence who changed their mind at the last minute, and they said they were not going to contest my report. They were going to accept my report, as it were. That's the information I got from the Prosecution.","usable because split=train, quality_tier=B, alignment_confidence=HIGH, and manual_review_required=NO | high_confidence because alignment_confidence=HIGH | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00166,only_new,,,,,,,,,HIGH,B,train,matched,00:36:58.890,00:37:27.850,"Now I would like to touch on the methodology, an issue that you approached with Mr. Drew White. You said that you have several criteria which you use in making comparisons. You mentioned writing, the construction of the alphabet, the way the words are lined up, and so on and so forth. Is that correct?","usable because split=train, quality_tier=B, alignment_confidence=HIGH, and manual_review_required=NO | high_confidence because alignment_confidence=HIGH | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00168,only_new,,,,,,,,,HIGH,B,train,matched,00:37:37.200,00:37:55.880,"The first thing I would like to know, do you usually make photocopies -- or, rather, do you usually rely on photocopies as the basis for the analysis of documents?","usable because split=train, quality_tier=B, alignment_confidence=HIGH, and manual_review_required=NO | high_confidence because alignment_confidence=HIGH | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00169,only_new,,,,,,,,,MEDIUM,B,train,matched,00:37:59.560,00:38:15.860,"Each and every case presents itself differently. There are those documents that come in photocopied form, there are those documents that come in carbon copies, there are those copies which come in the original handwriting.","usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00170,only_new,,,,,,,,,MEDIUM,B,train,fuzzy,00:38:28.990,00:38:43.230,"For, actually, those who deal -- who analyse handwritings, is the use of photocopies not recommended; disrecommended, rather?","usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00171,only_new,,,,,,,,,MEDIUM,B,train,fuzzy,00:38:52.910,00:38:58.210,(Microphone not activated)...I would never come to such a closed sentiment that photocopied documents are not recommended.,"usable because split=train, quality_tier=B, alignment_confidence=MEDIUM, and manual_review_required=NO | medium_confidence because alignment_confidence=MEDIUM | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
hear_2ef83c852251d65c_utt00172,only_new,,,,,,,,,HIGH,B,train,matched,00:39:09.510,00:39:18.690,"So to you, a photocopy and an original are one and the same thing; you can work on either. Is that correct?","usable because split=train, quality_tier=B, alignment_confidence=HIGH, and manual_review_required=NO | high_confidence because alignment_confidence=HIGH | video_valid because video_quality_status=VALID | audio_valid because audio_validation_status=VALID | split_train because the row belongs to the train partition"
