utterance_id,question_type
icty_karadzic_nan_nan_1_utt00001,open
icty_karadzic_nan_nan_1_utt00002,open
icty_karadzic_nan_nan_1_utt00003,open
icty_karadzic_nan_nan_1_utt00004,open
icty_karadzic_nan_nan_1_utt00005,open
icty_karadzic_nan_nan_1_utt00006,open
icty_karadzic_nan_nan_1_utt00007,open
icty_karadzic_nan_nan_1_utt00008,open
icty_karadzic_nan_nan_1_utt00009,open
icty_karadzic_nan_nan_1_utt00010,open
icty_karadzic_nan_nan_1_utt00011,open
icty_karadzic_nan_nan_1_utt00012,open
icty_karadzic_nan_nan_1_utt00013,open
icty_karadzic_nan_nan_1_utt00014,open
icty_karadzic_nan_nan_1_utt00015,open
icty_karadzic_nan_nan_1_utt00016,open
icty_karadzic_nan_nan_1_utt00017,open
icty_karadzic_nan_nan_1_utt00018,open
icty_karadzic_nan_nan_1_utt00019,open
icty_karadzic_nan_nan_1_utt00020,open
icty_karadzic_nan_nan_1_utt00021,open
icty_karadzic_nan_nan_1_utt00022,open
icty_karadzic_nan_nan_1_utt00023,open
icty_karadzic_nan_nan_1_utt00024,open
icty_karadzic_nan_nan_1_utt00025,open
icty_karadzic_nan_nan_1_utt00026,open
icty_karadzic_nan_nan_1_utt00027,open
icty_karadzic_nan_nan_1_utt00028,open
icty_karadzic_nan_nan_1_utt00029,open
icty_karadzic_nan_nan_1_utt00030,open
icty_karadzic_nan_nan_1_utt00031,open
icty_karadzic_nan_nan_1_utt00032,open
icty_karadzic_nan_nan_1_utt00033,open
icty_karadzic_nan_nan_1_utt00034,open
icty_karadzic_nan_nan_1_utt00035,open
icty_karadzic_nan_nan_1_utt00036,open
icty_karadzic_nan_nan_1_utt00037,open
icty_karadzic_nan_nan_1_utt00038,open
icty_karadzic_nan_nan_1_utt00039,open
icty_karadzic_nan_nan_1_utt00040,open
icty_karadzic_nan_nan_1_utt00041,open
icty_karadzic_nan_nan_1_utt00042,open
icty_karadzic_nan_nan_1_utt00043,open
icty_karadzic_nan_nan_1_utt00044,open
icty_karadzic_nan_nan_1_utt00045,open
icty_karadzic_nan_nan_1_utt00046,open
icty_karadzic_nan_nan_1_utt00047,open
icty_karadzic_nan_nan_1_utt00048,open
icty_karadzic_nan_nan_1_utt00049,open
icty_karadzic_nan_nan_1_utt00050,open
icty_karadzic_nan_nan_1_utt00051,open
icty_karadzic_nan_nan_1_utt00052,open
icty_karadzic_nan_nan_1_utt00053,open
icty_karadzic_nan_nan_1_utt00054,open
icty_karadzic_nan_nan_1_utt00055,open
icty_karadzic_nan_nan_1_utt00056,open
icty_karadzic_nan_nan_1_utt00057,open
icty_karadzic_nan_nan_1_utt00058,open
icty_karadzic_nan_nan_1_utt00059,open
icty_karadzic_nan_nan_1_utt00060,open
icty_karadzic_nan_nan_1_utt00061,open
icty_karadzic_nan_nan_1_utt00062,open
icty_karadzic_nan_nan_1_utt00063,open
icty_karadzic_nan_nan_1_utt00064,open
icty_karadzic_nan_nan_1_utt00065,open
icty_karadzic_nan_nan_1_utt00066,open
icty_karadzic_nan_nan_1_utt00067,open
icty_karadzic_nan_nan_1_utt00068,open
