sample_id,split,label,video_path,audio_path,transcript
train_dia1_utt0,train,2,data/MELD/raw/MELD.Raw/train/train_splits/dia1_utt0.mp4,data/MELD/raw/MELD.Raw/train/train_splits/dia1_utt0.mp4,But then who? The waitress I went out with last month?
train_dia1_utt1,train,3,data/MELD/raw/MELD.Raw/train/train_splits/dia1_utt1.mp4,data/MELD/raw/MELD.Raw/train/train_splits/dia1_utt1.mp4,You know? Forget it!
train_dia1_utt2,train,2,data/MELD/raw/MELD.Raw/train/train_splits/dia1_utt2.mp4,data/MELD/raw/MELD.Raw/train/train_splits/dia1_utt2.mp4,"No-no-no-no, no! Who, who were you talking about?"
train_dia1_utt3,train,5,data/MELD/raw/MELD.Raw/train/train_splits/dia1_utt3.mp4,data/MELD/raw/MELD.Raw/train/train_splits/dia1_utt3.mp4,"No, I-I-I-I don't, I actually don't know"
train_dia1_utt4,train,0,data/MELD/raw/MELD.Raw/train/train_splits/dia1_utt4.mp4,data/MELD/raw/MELD.Raw/train/train_splits/dia1_utt4.mp4,Ok!
train_dia1_utt5,train,0,data/MELD/raw/MELD.Raw/train/train_splits/dia1_utt5.mp4,data/MELD/raw/MELD.Raw/train/train_splits/dia1_utt5.mp4,"All right, well..."
train_dia1_utt8,train,0,data/MELD/raw/MELD.Raw/train/train_splits/dia1_utt8.mp4,data/MELD/raw/MELD.Raw/train/train_splits/dia1_utt8.mp4,"Yeah, sure!"
train_dia2_utt0,train,0,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt0.mp4,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt0.mp4,"Hey, Mon."
train_dia2_utt1,train,0,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt1.mp4,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt1.mp4,Hey-hey-hey. You wanna hear something that sucks.
train_dia2_utt2,train,1,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt2.mp4,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt2.mp4,Do I ever.
train_dia2_utt3,train,3,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt3.mp4,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt3.mp4,Chris says they’re closing down the bar.
train_dia2_utt4,train,2,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt4.mp4,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt4.mp4,No way!
train_dia2_utt5,train,0,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt5.mp4,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt5.mp4,"Yeah, apparently they’re turning it into some kinda coffee place."
train_dia2_utt6,train,6,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt6.mp4,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt6.mp4,Just coffee! Where are we gonna hang out now?
train_dia2_utt7,train,3,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt7.mp4,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt7.mp4,Got me.
train_dia2_utt8,train,0,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt8.mp4,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt8.mp4,Can I get a beer.
train_dia2_utt9,train,0,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt9.mp4,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt9.mp4,"Hey, did you pick a roommate?"
train_dia2_utt10,train,1,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt10.mp4,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt10.mp4,You betcha!
train_dia2_utt11,train,0,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt11.mp4,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt11.mp4,Is it the Italian guy?
train_dia2_utt12,train,1,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt12.mp4,data/MELD/raw/MELD.Raw/train/train_splits/dia2_utt12.mp4,"Um-mm, yeah right!"
train_dia3_utt0,train,2,data/MELD/raw/MELD.Raw/train/train_splits/dia3_utt0.mp4,data/MELD/raw/MELD.Raw/train/train_splits/dia3_utt0.mp4,"Oh my God, oh my God! Poor Monica!"
train_dia3_utt1,train,2,data/MELD/raw/MELD.Raw/train/train_splits/dia3_utt1.mp4,data/MELD/raw/MELD.Raw/train/train_splits/dia3_utt1.mp4,"What, what, what?!"
train_dia3_utt2,train,2,data/MELD/raw/MELD.Raw/train/train_splits/dia3_utt2.mp4,data/MELD/raw/MELD.Raw/train/train_splits/dia3_utt2.mp4,What?!
train_dia3_utt3,train,0,data/MELD/raw/MELD.Raw/train/train_splits/dia3_utt3.mp4,data/MELD/raw/MELD.Raw/train/train_splits/dia3_utt3.mp4,He was with her when he wrote this poem.
train_dia3_utt4,train,0,data/MELD/raw/MELD.Raw/train/train_splits/dia3_utt4.mp4,data/MELD/raw/MELD.Raw/train/train_splits/dia3_utt4.mp4,"Look, 'My vessel so empty with nothing inside."
train_dia3_utt5,train,0,data/MELD/raw/MELD.Raw/train/train_splits/dia3_utt5.mp4,data/MELD/raw/MELD.Raw/train/train_splits/dia3_utt5.mp4,"Now that I've touched you, you seem emptier still.'"
